Modules Directory,testray.main.component,Team
modules/apps/accessibility,Accessibility Menu,Platform Experience
modules/apps/account,Account,Commerce
modules/apps/adaptive-media,Adaptive Media,Content Management
modules/apps/address,Address,Commerce
modules/apps/ai-creator,AI-Creator,Content Management
modules/apps/analytics,Analytics Cloud,Analytics Cloud
modules/apps/announcements,Announcements,Content Management
modules/apps/application-list,Control Menu,Platform Experience
modules/apps/archived,Archived Apps,NoMappedTeam
modules/apps/asset,Asset Framework,Content Management
modules/apps/asset-tags-validator,Asset Publisher Widget,Content Management
modules/apps/batch-engine,Headless Batch Engine API,Headless
modules/apps/batch-planner,Data Migration Center,Headless
modules/apps/bean-portlet,Bean Portlet,Core Infrastructure
modules/apps/blogs,Blogs,Content Management
modules/apps/bookmarks,Bookmarks,Content Management
modules/apps/bulk,Documents and Media,Content Management
modules/apps/calendar,Calendar,Business Process Management
modules/apps/captcha,CAPTCHA,Application Security
modules/apps/changeset,Staging,Site Management
modules/apps/change-tracking,Publications,Site Management
modules/apps/click-to-chat,Click to Chat,Site Management
modules/apps/client-extension,Frontend Client Extensions,Frontend Infrastructure
modules/apps/comment,Comment,Content Management
modules/apps/commerce,Commerce,Commerce
modules/apps/company,Virtual Instances,Core Infrastructure
modules/apps/configuration-admin,System Settings,Platform Experience
modules/apps/connected-app,Documents and Media,Content Management
modules/apps/consent-management-platform,Application Security,Application Security
modules/apps/contacts,Contacts Center,Commerce
modules/apps/content-dashboard,Content Dashboard,Content Management
modules/apps/cookies,Cookies,Application Security
modules/apps/counter,Portal Services,Core Infrastructure
modules/apps/data-cleanup,Data Cleanup,Database Infrastructure
modules/apps/data-engine,Data Engine,Business Process Management
modules/apps/depot,Asset Libraries,Content Management
modules/apps/diff,Portal Services,NoMappedTeam
modules/apps/digital-signature,Digital Signature,Business Process Management
modules/apps/dispatch,Job Scheduler,Headless
modules/apps/document-library,Documents and Media,Content Management
modules/apps/document-library-google-docs,External Document Repositories,Content Management
modules/apps/document-library-opener,External Document Repositories,Content Management
modules/apps/dynamic-data-lists,Dynamic Data Lists,Business Process Management
modules/apps/dynamic-data-mapping,Dynamic Data Mapping,Business Process Management
modules/apps/expando,Custom Fields,Core Infrastructure
modules/apps/export-import,Export/Import,Headless
modules/apps/external-reference,Portal Services,Core Infrastructure
modules/apps/feature-flag,Feature Flag,Platform Experience
